party,f_count,nf_count,cancel_perc
BNP,299,43.0,0.13
Independent,246,209.0,0.46
Islami Andolan Bangladesh,234,15.0,0.06
Jamaat,218,44.0,0.17
JaPa,152,21.0,0.12
GOP (Nuru),79,13.0,0.14
CPB,59,3.0,0.05
Insaniat Biplab Bangladesh,41,,
JP (Manju),37,9.0,0.2
BaSaD,34,2.0,0.06
Bangladesh Khelafat Majlish,31,52.0,0.63
BaSaD (M),29,,
NCP,27,11.0,0.29
AB Party,27,25.0,0.48
JSD,25,4.0,0.14
Bangladesh Islami Front,24,3.0,0.11
NPP,23,1.0,0.04
Bangladesh Sangskritik Muktijote,19,1.0,0.05
Janatar Dol,19,3.0,0.14
Gano Forum,19,4.0,0.17
Islamic Front,18,2.0,0.1
Ganosamhati Andolon (Saki),17,1.0,0.06
Khelafat Majlish,17,50.0,0.75
BSP,16,3.0,0.16
Bangladesh Muslim League,15,2.0,0.12
Bangladesh Labor Party,15,4.0,0.21
BRP,14,,
Bangladesh Congress,13,3.0,0.19
LDP,13,11.0,0.46
Amjanatar Dol,11,4.0,0.27
Nagorik Oikko,11,,
Revolutionary Workers Party of Bangladesh,9,,
Bangladesh JaSaD,9,,
BNF,8,1.0,0.11
Bangladesh Khelafat Andolan,7,1.0,0.12
NDM,7,,
BMJP,6,1.0,0.14
JaSaD,6,,
Gano Front,5,1.0,0.17
Jamiat Ulama-e-Islam Bangladesh,4,1.0,0.2
Jaker Party,4,2.0,0.33
BJP,4,,
Bangladesh Jatiya Party,4,,
Bangladesh Nejame Islam Party,3,3.0,0.5
Bangladesh Kallyan Party,2,1.0,0.33
Islami Oikya Jote,2,2.0,0.5
BML,2,1.0,0.33
Bangladesh Development Party,2,,
NAP (Muzaffar),1,,
Ganotontri Party,1,,
Jagpa,1,,
