filename,name_bn,zillaID,constituencyID,income,tax,wealth,party,check_tax
"8,289,মোহাম্মদ এনামুল হক.txt",মোহাম্মদ এনামুল হক,8,289,81758622.0,2422304.0,110433962.0,BNP,1.3
"45,140,মোঃ সাদিকুর রহমান.txt",মোঃ সাদিকুর রহমান,45,140,9665195.0,196239.0,11206062.0,Independent,1.29
"48,158,মোঃ ফাহিম রহমান খান পাঠান.txt",মোঃ ফাহিম রহমান খান পাঠান,48,158,5090000.0,40000.0,5232040.0,NCP,1.22
"17,253,মোঃ জসীম উদ্দিন.txt",মোঃ জসীম উদ্দিন,17,253,61613054.0,4212058.0,78526845.0,BNP,1.17
"14,265,কাজী গোলাম কিবরিয়া.txt",কাজী গোলাম কিবরিয়া,14,265,4065606.0,3000.0,4271000.0,Islami Andolan Bangladesh,1.07
"17,255,রেদোয়ান আহমেদ.txt",রেদোয়ান আহমেদ,17,255,49833536.0,2386650.0,88176990.0,BNP,0.91
"17,255,রেদোয়ান আহমেদ.txt",রেদোয়ান আহমেদ,17,255,49833536.0,2386650.0,88176990.0,BNP,0.91
"17,255,রেদোয়ান আহমেদ.txt",রেদোয়ান আহমেদ,17,255,49833536.0,2386650.0,88176990.0,BNP,0.91
"19,4,সাহাব উদ্দিন আহাম্মেদ.txt",সাহাব উদ্দিন আহাম্মেদ,19,4,3255000.0,0.0,4000000.0,CPB,0.81
"31,59,ড. মোঃ নূরন্নবী মৃধা.txt",ড. মোঃ নূরন্নবী মৃধা,31,59,14368106.0,135086.0,34247522.0,Independent,0.71
"20,8,মোঃ রবিউল ইসলাম.txt",মোঃ রবিউল ইসলাম,20,8,4065000.0,3000.0,6789500.0,Janatar Dol,0.67
"17,253,যোবায়ের আহমেদ ভুঁইয়া.txt",যোবায়ের আহমেদ ভুঁইয়া,17,253,5357740.0,168298.0,9909291.0,AB Party,0.61
"17,253,যোবায়ের আহমেদ ভুঁইয়া.txt",যোবায়ের আহমেদ ভুঁইয়া,17,253,5357740.0,168298.0,9909291.0,AB Party,0.61
