year,region,party,votes_pc
1991,Rural,AL,34.80270114942529
1991,Rural,BNP,28.003417085427138
1991,Urban,AL,33.368153846153845
1991,Urban,BNP,35.95708333333333
1996,Rural,AL,37.73754901960784
1996,Rural,BNP,32.741773399014775
1996,Urban,AL,37.73222222222222
1996,Urban,BNP,34.329166666666666
2001,Rural,AL,40.1064824120603
2001,Rural,BNP,47.057906976744185
2001,Urban,AL,41.01222222222222
2001,Urban,BNP,49.60941176470588
2008,Rural,AL,54.03078651685393
2008,Rural,BNP,37.80457142857143
2008,Urban,AL,56.226268656716414
2008,Urban,BNP,37.33085714285714
