year,party,votes,votes_pc,seats_fptp,seats_pr,seats_mmp,seats_fptp_pc,seats_pr_pc,seats_mmp_pc
2008,AL,33634629,48.04,230,149,230,76.67,49.67,65.71
2008,JaPa,4926360,7.04,27,21,27,9.0,7.0,7.71
2008,JaSaD (Inu),506605,0.72,3,2,3,1.0,0.67,0.86
2008,Workers Party,262093,0.37,2,1,2,0.67,0.33,0.57
2008,LDP,191679,0.27,1,0,1,0.33,0.0,0.29
2008,BNP,22757101,32.5,30,101,73,10.0,33.67,20.86
2008,Jamaat,3289967,4.7,2,14,8,0.67,4.67,2.29
2008,BJP,173292,0.25,1,0,0,0.33,0.0,0.0
2008,Islami Oikya Jote,108415,0.15,0,0,0,0.0,0.0,0.0
2008,Islami Andolan Bangladesh,658254,0.94,0,2,1,0.0,0.67,0.29
2008,Jamiat Ulema-e-Islam Bangladesh,175245,0.25,0,0,0,0.0,0.0,0.0
2008,Bikalpa Dhara,146827,0.21,0,0,0,0.0,0.0,0.0
2008,Zaker Party,134933,0.19,0,0,0,0.0,0.0,0.0
2008,Jatiya Ganotantrik Party,107796,0.15,0,0,0,0.0,0.0,0.0
2008,Krishak Sramik Janata League,102879,0.15,0,0,0,0.0,0.0,0.0
2008,Gano Forum,72911,0.1,0,0,0,0.0,0.0,0.0
2008,CPB,42331,0.06,0,0,0,0.0,0.0,0.0
2008,BaSaD,38643,0.06,0,0,0,0.0,0.0,0.0
2008,JSD (Rab),37350,0.05,0,0,0,0.0,0.0,0.0
2008,Bangladesh Islami Front,31785,0.05,0,0,0,0.0,0.0,0.0
2008,Khelafat Majlish,27921,0.04,0,0,0,0.0,0.0,0.0
2008,NAP (Muzaffar),24141,0.03,0,0,0,0.0,0.0,0.0
2008,Bangladesh Kalyan Party,21609,0.03,0,0,0,0.0,0.0,0.0
2008,Bangladesh Tarikat Federation,19905,0.03,0,0,0,0.0,0.0,0.0
2008,Bangladesh Khilafat Andolan,16944,0.02,0,0,0,0.0,0.0,0.0
2008,Progressive Democratic Party,14228,0.02,0,0,0,0.0,0.0,0.0
2008,NPP,10348,0.01,0,0,0,0.0,0.0,0.0
2008,BJP,8383,0.01,0,0,0,0.0,0.0,0.0
2008,JP (Manju),7818,0.01,0,0,0,0.0,0.0,0.0
2008,NAP (Bhashani),4365,0.01,0,0,0,0.0,0.0,0.0
2008,People's Front,4009,0.01,0,0,0,0.0,0.0,0.0
2008,United Citizens Movement,3542,0.01,0,0,0,0.0,0.0,0.0
2008,Ganatantri Party,2550,0.0,0,0,0,0.0,0.0,0.0
2008,Revolutionary Workers Party of Bangladesh,2021,0.0,0,0,0,0.0,0.0,0.0
2008,Bangladesh Muslim League,1113,0.0,0,0,0,0.0,0.0,0.0
2008,Islamic Front,1020,0.0,0,0,0,0.0,0.0,0.0
2008,FP,566,0.0,0,0,0,0.0,0.0,0.0
2008,Communist Party of Bangladesh (ML),297,0.0,0,0,0,0.0,0.0,0.0
2008,Independents,2060392,2.94,4,9,4,1.33,3.0,1.14
2008,None of the above,381924,0.55,0,1,0,0.0,0.33,0.0
