seat,BAKSAL,BJP,CPB,Ganatantri Party,Islami Oikya Jote,JP (Manju),JSD (Rab),JSD (Siraj),JaPa,Jamaat,Krishak Sramik Janata League,LDP,NAP (Muzaffar),NDP,Workers Party,total,party
Gaibandha-1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,"JaPa, Jamaat"
Satkhira-2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,"JaPa, Jamaat"
Chittagong-14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,Jamaat
Gaibandha-3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Kurigram-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Kurigram-2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Lalmonirhat-2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Lalmonirhat-3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Nilphamari-3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,"JaPa, Jamaat"
Pirojpur-2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,"JP (Manju), JaPa"
Rangpur-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Rangpur-2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Rangpur-3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Satkhira-4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,"BJP, JaPa"
Bagerhat-4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Barisal-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,"JaPa, Workers Party"
Brahmanbaria-2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,"Islami Oikya Jote, JaPa"
Brahmanbaria-5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"BJP, JaPa"
Chittagong-7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,"CPB, JSD (Rab)"
Cox's Bazar-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"BAKSAL, Jamaat"
Dinajpur-6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Gaibandha-4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Gaibandha-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Habiganj-3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Khulna-6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Kurigram-3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Kurigram-4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Lalmonirhat-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Moulvibazar-2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Nilphamari-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Nilphamari-2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,"CPB, JaPa"
Nilphamari-4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,"JaPa, NAP (Muzaffar)"
Pabna-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Pabna-5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Pirojpur-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Pirojpur-3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"BAKSAL, JaPa"
Rangpur-4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Rangpur-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Rangpur-6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Satkhira-3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Sunamganj-2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,"Ganatantri Party, JaPa"
Sylhet-3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Sylhet-5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,"Islami Oikya Jote, Jamaat"
Tangail-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Barguna-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Islami Oikya Jote
Barisal-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Barisal-6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Bhola-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BJP
Bogra-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Brahmanbaria-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Chapai Nawabganj-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Chittagong-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,LDP
Chittagong-4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Chittagong-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Chittagong-6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NDP
Chuadanga-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Comilla-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Comilla-9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Cox's Bazar-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Dhaka-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Dhaka-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Workers Party
Dinajpur-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Dinajpur-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BAKSAL
Gaibandha-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Habiganj-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Jessore-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Jessore-4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BJP
Jessore-6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Jhalokati-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Jhalokati-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Khulna-5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Kishoreganj-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Kushtia-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,JSD (Rab)
Lakshmipur-4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,JSD (Rab)
Madaripur-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BAKSAL
Manikganj-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Moulvibazar-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Mymensingh-4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Mymensingh-8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Naogaon-4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Narayanganj-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Natore-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Natore-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Noakhali-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Panchagarh-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CPB
Rajbari-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Rajshahi-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Workers Party
Rajshahi-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Satkhira-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Shariatpur-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BAKSAL
Sherpur-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sunamganj-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CPB
Sunamganj-4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sunamganj-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sylhet-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sylhet-6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Tangail-4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,JSD (Siraj)
Tangail-8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Krishak Sramik Janata League
Thakurgaon-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CPB
Thakurgaon-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
